id,previous_checkpoint,train_set_performance,dev_set_performance,created_at,notes
0,,0.06161780655384064,0.059950754046440125,2018-06-03 10:37:28.008331,Adam learning_rate=0.001 weight_decay=0
1,0,0.0610387921333313,0.05946753919124603,2018-06-03 16:49:20.874759,Adam learning_rate=0.001 weight_decay=0
2,1,0.0608130544424057,0.05921975150704384,2018-06-03 16:54:50.631024,Adam learning_rate=0.001 weight_decay=0
3,2,0.034724749624729156,0.03384781256318092,2018-06-03 17:01:13.965132,Adam learning_rate=0.01 weight_decay=0
4,3,0.024848688393831253,0.02454877272248268,2018-06-03 17:06:40.354470,Adam learning_rate=0.01 weight_decay=0
5,4,0.02151690423488617,0.022263936698436737,2018-06-03 17:11:58.746579,Adam learning_rate=0.01 weight_decay=0
6,5,0.020347721874713898,0.02216356061398983,2018-06-03 17:18:02.964178,Adam learning_rate=0.01 weight_decay=0
7,6,0.0197184756398201,0.021849235519766808,2018-06-03 17:23:51.361707,Adam learning_rate=0.01 weight_decay=0
8,7,0.01838361844420433,0.021955689415335655,2018-06-03 17:29:19.473359,Adam learning_rate=0.01 weight_decay=0
9,8,0.0177980437874794,0.021641414612531662,2018-06-03 17:35:14.525960,Adam learning_rate=0.01 weight_decay=0
10,9,0.017301242798566818,0.022063903510570526,2018-06-03 17:41:43.426925,Adam learning_rate=0.01 weight_decay=0
11,10,0.016478706151247025,0.02271219901740551,2018-06-03 17:47:42.377597,Adam learning_rate=0.01 weight_decay=0
12,11,0.01606633886694908,0.023423705250024796,2018-06-03 17:53:04.824905,Adam learning_rate=0.01 weight_decay=0
13,12,0.03394613787531853,0.03318934142589569,2018-06-03 17:59:30.868161,Adam learning_rate=0.01 weight_decay=0.001
14,13,0.03720627352595329,0.03649434819817543,2018-06-03 18:05:29.407645,Adam learning_rate=0.01 weight_decay=0.001
15,14,0.03790891543030739,0.03717813268303871,2018-06-03 18:11:35.093770,Adam learning_rate=0.01 weight_decay=0.001
16,15,0.039303507655858994,0.038606371730566025,2018-06-03 18:17:26.029881,Adam learning_rate=0.01 weight_decay=0.001
17,12,0.019586145877838135,0.02181135304272175,2018-06-03 18:26:09.666547,Adam learning_rate=0.001 weight_decay=0.001
18,17,0.02303599752485752,0.023482641205191612,2018-06-03 18:31:50.720258,Adam learning_rate=0.001 weight_decay=0.001
19,18,0.026038099080324173,0.02609351836144924,2018-06-03 18:37:46.015360,Adam learning_rate=0.001 weight_decay=0.001
20,19,0.027325434610247612,0.02751999907195568,2018-06-03 18:43:36.277771,Adam learning_rate=0.001 weight_decay=0.001
21,20,0.02873607538640499,0.029058925807476044,2018-06-03 18:49:25.534837,Adam learning_rate=0.001 weight_decay=0.001
22,21,0.0300649031996727,0.030198300257325172,2018-06-03 18:54:51.583901,Adam learning_rate=0.001 weight_decay=0.001
23,22,0.03127333149313927,0.031184952706098557,2018-06-03 19:00:34.150484,Adam learning_rate=0.001 weight_decay=0.001
24,23,0.03220532089471817,0.031854916363954544,2018-06-03 19:06:14.410370,Adam learning_rate=0.001 weight_decay=0.001
25,24,0.032659027725458145,0.03226340189576149,2018-06-03 19:11:59.445715,Adam learning_rate=0.001 weight_decay=0.001
26,25,0.03278050199151039,0.032329995185136795,2018-06-03 19:18:09.757306,Adam learning_rate=0.001 weight_decay=0.001
27,26,0.032659176737070084,0.03214564546942711,2018-06-03 19:24:35.688581,Adam learning_rate=0.001 weight_decay=0.001
28,16,0.03800983354449272,0.037405531853437424,2018-06-03 19:33:05.223154,Adam learning_rate=0.001 weight_decay=0.001
29,16,0.03830990567803383,0.037621550261974335,2018-06-03 19:41:33.359823,Adam learning_rate=0.01 weight_decay=0.001
30,29,0.03808721899986267,0.03749129921197891,2018-06-03 19:47:23.214247,Adam learning_rate=0.01 weight_decay=0.001
31,30,0.03789167106151581,0.037276700139045715,2018-06-03 19:53:21.354572,Adam learning_rate=0.01 weight_decay=0.001
32,31,0.038400422781705856,0.037806496024131775,2018-06-03 19:59:16.288111,Adam learning_rate=0.01 weight_decay=0.001
33,32,0.037698231637477875,0.03715268895030022,2018-06-03 20:04:57.834765,Adam learning_rate=0.01 weight_decay=0.001
34,16,0.03786533325910568,0.03730868920683861,2018-06-04 03:08:20.018443,Adam learning_rate=0.001 weight_decay=0.001
35,34,0.03751533851027489,0.036992672830820084,2018-06-04 03:14:18.048736,Adam learning_rate=0.001 weight_decay=0.001
36,35,0.03731526434421539,0.03680179640650749,2018-06-04 03:20:23.118561,Adam learning_rate=0.001 weight_decay=0.001
37,36,0.037137966603040695,0.03664784133434296,2018-06-04 03:26:30.578256,Adam learning_rate=0.001 weight_decay=0.001
